axe,horizon,pointe,n_ouvert,ferme,n_ferme,rouvre
ATLANTIQUE,1,creuse,8598,444,5385,480
ATLANTIQUE,1,pointe,11276,488,7044,548
ATLANTIQUE,2,creuse,8440,335,5478,541
ATLANTIQUE,2,pointe,11150,364,7091,626
ATLANTIQUE,3,creuse,8215,366,5582,644
ATLANTIQUE,3,pointe,10861,426,7323,798
ATLANTIQUE,4,creuse,4651,12,9024,3517
ATLANTIQUE,4,pointe,7124,31,10982,3795
ATLANTIQUE,5,creuse,4468,200,9068,484
ATLANTIQUE,5,pointe,6948,255,11087,510
ATLANTIQUE,6,creuse,4389,240,8967,479
ATLANTIQUE,6,pointe,6840,265,10906,607
ATLANTIQUE,7,creuse,3983,188,9319,552
ATLANTIQUE,7,pointe,6083,239,11587,987
ATLANTIQUE,8,creuse,3516,119,9632,555
ATLANTIQUE,8,pointe,5527,180,11990,721
ATLANTIQUE,9,creuse,3318,109,9686,277
ATLANTIQUE,9,pointe,5477,232,11916,315
ATLANTIQUE,10,creuse,3142,116,9716,320
ATLANTIQUE,10,pointe,5534,217,11728,358
ATLANTIQUE,11,creuse,3014,123,9719,252
ATLANTIQUE,11,pointe,5332,283,11825,499
ATLANTIQUE,12,creuse,2165,39,10392,897
ATLANTIQUE,12,pointe,3470,149,13576,1916
ATLANTIQUE,13,creuse,2084,51,10314,127
ATLANTIQUE,13,pointe,3550,124,13230,137
ATLANTIQUE,14,creuse,1883,30,10458,151
ATLANTIQUE,14,pointe,3342,112,13372,228
ATLANTIQUE,15,creuse,1690,31,10542,225
ATLANTIQUE,15,pointe,2835,51,13874,452
ATLANTIQUE,16,creuse,1569,4,10560,124
ATLANTIQUE,16,pointe,2674,39,14033,180
ATLANTIQUE,17,creuse,1463,5,10558,80
ATLANTIQUE,17,pointe,2614,42,14080,61
ATLANTIQUE,18,creuse,1422,14,10496,74
ATLANTIQUE,18,pointe,2468,20,14213,152
ATLANTIQUE,19,creuse,1400,3,10423,80
ATLANTIQUE,19,pointe,2365,31,14303,67
ATLANTIQUE,20,creuse,1419,5,10436,45
ATLANTIQUE,20,pointe,2435,42,14267,42
ATLANTIQUE,21,creuse,1365,9,10490,83
ATLANTIQUE,21,pointe,2411,27,14291,97
ATLANTIQUE,22,creuse,1378,2,10398,44
ATLANTIQUE,22,pointe,2295,11,14395,114
ATLANTIQUE,23,creuse,1391,6,10306,35
ATLANTIQUE,23,pointe,2229,45,14444,141
ATLANTIQUE,24,creuse,1369,1,10249,36
ATLANTIQUE,24,pointe,2247,50,14409,38
ATLANTIQUE,25,creuse,1299,7,10235,75
ATLANTIQUE,25,pointe,2158,37,14481,109
ATLANTIQUE,26,creuse,1228,8,10219,65
ATLANTIQUE,26,pointe,2053,8,14574,65
ATLANTIQUE,27,creuse,1183,3,10268,51
ATLANTIQUE,27,pointe,1999,3,14635,74
ATLANTIQUE,28,creuse,1131,23,10314,82
ATLANTIQUE,28,pointe,1930,25,14698,89
ATLANTIQUE,29,creuse,1131,18,10366,55
ATLANTIQUE,29,pointe,1937,42,14659,80
ATLANTIQUE,30,creuse,0,0,11553,1210
ATLANTIQUE,30,pointe,0,0,16562,2055
AUTOCAR SNCF,1,creuse,0,0,4033,0
AUTOCAR SNCF,1,pointe,0,0,4501,0
AUTOCAR SNCF,2,creuse,0,0,3877,0
AUTOCAR SNCF,2,pointe,0,0,4424,0
AUTOCAR SNCF,3,creuse,0,0,3720,0
AUTOCAR SNCF,3,pointe,0,0,4347,0
AUTOCAR SNCF,4,creuse,0,0,3549,0
AUTOCAR SNCF,4,pointe,0,0,4270,0
AUTOCAR SNCF,5,creuse,0,0,3447,0
AUTOCAR SNCF,5,pointe,0,0,4202,0
AUTOCAR SNCF,6,creuse,0,0,3346,0
AUTOCAR SNCF,6,pointe,0,0,4134,0
AUTOCAR SNCF,7,creuse,0,0,3212,0
AUTOCAR SNCF,7,pointe,0,0,4057,0
AUTOCAR SNCF,8,creuse,0,0,3043,0
AUTOCAR SNCF,8,pointe,0,0,3984,0
AUTOCAR SNCF,9,creuse,0,0,2881,0
AUTOCAR SNCF,9,pointe,0,0,3911,0
AUTOCAR SNCF,10,creuse,0,0,2719,0
AUTOCAR SNCF,10,pointe,0,0,3838,0
AUTOCAR SNCF,11,creuse,0,0,2549,0
AUTOCAR SNCF,11,pointe,0,0,3765,0
AUTOCAR SNCF,12,creuse,0,0,2432,0
AUTOCAR SNCF,12,pointe,0,0,3690,0
AUTOCAR SNCF,13,creuse,0,0,2441,0
AUTOCAR SNCF,13,pointe,0,0,3699,0
AUTOCAR SNCF,14,creuse,0,0,2438,0
AUTOCAR SNCF,14,pointe,0,0,3696,0
AUTOCAR SNCF,15,creuse,0,0,2446,0
AUTOCAR SNCF,15,pointe,0,0,3696,0
AUTOCAR SNCF,16,creuse,0,0,2454,0
AUTOCAR SNCF,16,pointe,0,0,3696,0
AUTOCAR SNCF,17,creuse,0,0,2462,0
AUTOCAR SNCF,17,pointe,0,0,3696,0
AUTOCAR SNCF,18,creuse,0,0,2470,0
AUTOCAR SNCF,18,pointe,0,0,3702,0
AUTOCAR SNCF,19,creuse,0,0,2484,0
AUTOCAR SNCF,19,pointe,0,0,3706,0
AUTOCAR SNCF,20,creuse,0,0,2500,0
AUTOCAR SNCF,20,pointe,0,0,3710,0
AUTOCAR SNCF,21,creuse,0,0,2510,0
AUTOCAR SNCF,21,pointe,0,0,3710,0
AUTOCAR SNCF,22,creuse,0,0,2518,0
AUTOCAR SNCF,22,pointe,0,0,3704,0
AUTOCAR SNCF,23,creuse,0,0,2522,0
AUTOCAR SNCF,23,pointe,0,0,3704,0
AUTOCAR SNCF,24,creuse,0,0,2526,0
AUTOCAR SNCF,24,pointe,0,0,3704,0
AUTOCAR SNCF,25,creuse,0,0,2530,0
AUTOCAR SNCF,25,pointe,0,0,3710,0
AUTOCAR SNCF,26,creuse,0,0,2540,0
AUTOCAR SNCF,26,pointe,0,0,3714,0
AUTOCAR SNCF,27,creuse,0,0,2556,0
AUTOCAR SNCF,27,pointe,0,0,3718,0
AUTOCAR SNCF,28,creuse,0,0,2562,0
AUTOCAR SNCF,28,pointe,0,0,3712,0
AUTOCAR SNCF,29,creuse,0,0,2552,0
AUTOCAR SNCF,29,pointe,0,0,3706,0
AUTOCAR SNCF,30,creuse,0,0,2544,0
AUTOCAR SNCF,30,pointe,0,0,3712,0
EST,1,creuse,4392,430,7892,390
EST,1,pointe,5640,658,11295,530
EST,2,creuse,4460,705,7742,514
EST,2,pointe,5860,829,10979,542
EST,3,creuse,4420,493,7742,569
EST,3,pointe,5953,659,10804,654
EST,4,creuse,1540,13,10534,2781
EST,4,pointe,2526,73,14145,3535
EST,5,creuse,1788,367,10219,214
EST,5,pointe,2774,366,13855,210
EST,6,creuse,1646,122,10091,336
EST,6,pointe,2759,265,13691,343
EST,7,creuse,1694,194,9899,188
EST,7,pointe,2946,433,13298,251
EST,8,creuse,1748,185,9747,196
EST,8,pointe,3100,249,12999,187
EST,9,creuse,1764,270,9657,297
EST,9,pointe,3365,446,12592,208
EST,10,creuse,1923,314,9424,217
EST,10,pointe,3369,402,12447,487
EST,11,creuse,1750,198,9475,382
EST,11,pointe,3277,356,12394,464
EST,12,creuse,602,3,10528,1199
EST,12,pointe,1357,4,14241,1887
EST,13,creuse,520,37,10338,124
EST,13,pointe,1265,87,14137,199
EST,14,creuse,503,57,10275,65
EST,14,pointe,1200,162,13986,199
EST,15,creuse,475,38,10298,86
EST,15,pointe,1200,46,13964,63
EST,16,creuse,466,35,10319,70
EST,16,pointe,1085,36,14084,71
EST,17,creuse,401,14,10382,24
EST,17,pointe,990,50,14180,57
EST,18,creuse,424,30,10357,11
EST,18,pointe,975,60,14196,43
EST,19,creuse,444,45,10221,28
