train_no,origine_iata,destination_iata,bande,n_ouvert,ferme,n_ferme,rouvre
105437,FRXSH,FRAFW,proche,0,0,35,0
105437,FRXSH,FRAFW,relance,0,0,3,0
105442,FRXSH,FRAFW,bascule,0,0,2,0
105442,FRXSH,FRAFW,derniers_jours,0,0,1,0
105442,FRXSH,FRAFW,imminent,0,0,4,0
105442,FRXSH,FRAFW,intervalle,0,0,6,0
105442,FRXSH,FRAFW,lointain,0,0,30,0
105442,FRXSH,FRAFW,moyen,0,0,14,0
105442,FRXSH,FRAFW,ouverture,0,0,2,0
105442,FRXSH,FRAFW,plateau,0,0,13,0
105442,FRXSH,FRAFW,proche,0,0,10,0
105442,FRXSH,FRAFW,relance,0,0,2,0
105451,FRXSH,FRAFW,bascule,0,0,1,0
105451,FRXSH,FRAFW,imminent,0,0,2,0
105451,FRXSH,FRAFW,intervalle,0,0,3,0
105451,FRXSH,FRAFW,lointain,0,0,15,0
105451,FRXSH,FRAFW,moyen,0,0,7,0
105451,FRXSH,FRAFW,ouverture,0,0,1,0
105451,FRXSH,FRAFW,plateau,0,0,7,0
105451,FRXSH,FRAFW,proche,0,0,5,0
105451,FRXSH,FRAFW,relance,0,0,1,0
105455,FRXSH,FRAFW,bascule,0,0,2,0
105455,FRXSH,FRAFW,derniers_jours,0,0,2,0
105455,FRXSH,FRAFW,imminent,0,0,4,0
105455,FRXSH,FRAFW,intervalle,0,0,6,0
105455,FRXSH,FRAFW,lointain,0,0,30,0
105455,FRXSH,FRAFW,moyen,0,0,14,0
105455,FRXSH,FRAFW,ouverture,0,0,3,0
105455,FRXSH,FRAFW,plateau,0,0,13,0
105455,FRXSH,FRAFW,proche,0,0,10,0
105455,FRXSH,FRAFW,relance,0,0,1,0
105485,FRXSH,FRAFW,bascule,0,0,3,0
105485,FRXSH,FRAFW,derniers_jours,0,0,9,0
105485,FRXSH,FRAFW,imminent,0,0,14,0
105485,FRXSH,FRAFW,intervalle,0,0,21,0
105485,FRXSH,FRAFW,lointain,0,0,105,0
105485,FRXSH,FRAFW,moyen,0,0,49,0
105485,FRXSH,FRAFW,ouverture,0,0,10,0
105485,FRXSH,FRAFW,plateau,0,0,51,0
105485,FRXSH,FRAFW,proche,0,0,35,0
105485,FRXSH,FRAFW,relance,0,0,3,0
105750,FRXSH,FRAFW,bascule,0,0,2,0
105750,FRXSH,FRAFW,derniers_jours,0,0,9,0
105750,FRXSH,FRAFW,imminent,0,0,12,0
105750,FRXSH,FRAFW,intervalle,0,0,18,0
105750,FRXSH,FRAFW,lointain,0,0,90,0
105750,FRXSH,FRAFW,moyen,0,0,42,0
105750,FRXSH,FRAFW,ouverture,0,0,9,0
105750,FRXSH,FRAFW,plateau,0,0,44,0
105750,FRXSH,FRAFW,proche,0,0,30,0
105750,FRXSH,FRAFW,relance,0,0,2,0
106306,FRAFW,FRXSH,bascule,0,0,3,0
106306,FRAFW,FRXSH,derniers_jours,0,0,9,0
