train_no,origine_iata,destination_iata,bande,n_ouvert,ferme,n_ferme,rouvre
105342,FRXSH,FRAFW,bascule,0,0,1,0
105342,FRXSH,FRAFW,intervalle,0,0,3,0
105342,FRXSH,FRAFW,plateau,0,0,7,0
105342,FRXSH,FRAFW,relance,0,0,1,0
105347,FRXSH,FRAFW,bascule,0,0,1,0
105347,FRXSH,FRAFW,derniers_jours,0,0,3,0
105347,FRXSH,FRAFW,intervalle,0,0,5,0
105347,FRXSH,FRAFW,ouverture,0,0,1,0
105347,FRXSH,FRAFW,plateau,0,0,12,0
105350,FRXSH,FRAFW,intervalle,0,0,1,0
105350,FRXSH,FRAFW,plateau,0,0,3,0
105362,FRXSH,FRAFW,bascule,0,0,1,0
105362,FRXSH,FRAFW,derniers_jours,0,0,3,0
105362,FRXSH,FRAFW,intervalle,0,0,5,0
105362,FRXSH,FRAFW,ouverture,0,0,1,0
105362,FRXSH,FRAFW,plateau,0,0,12,0
105375,FRXSH,FRAFW,bascule,0,0,1,0
105375,FRXSH,FRAFW,derniers_jours,0,0,3,0
105375,FRXSH,FRAFW,intervalle,0,0,7,0
105375,FRXSH,FRAFW,ouverture,0,0,1,0
105375,FRXSH,FRAFW,plateau,0,0,17,0
105375,FRXSH,FRAFW,relance,0,0,1,0
105377,FRXSH,FRAFW,bascule,0,0,1,0
105377,FRXSH,FRAFW,derniers_jours,0,0,3,0
105377,FRXSH,FRAFW,intervalle,0,0,7,0
105377,FRXSH,FRAFW,ouverture,0,0,1,0
105377,FRXSH,FRAFW,plateau,0,0,17,0
105377,FRXSH,FRAFW,relance,0,0,1,0
105378,FRXSH,FRAFW,bascule,0,0,1,0
105378,FRXSH,FRAFW,derniers_jours,0,0,3,0
105378,FRXSH,FRAFW,intervalle,0,0,7,0
105378,FRXSH,FRAFW,ouverture,0,0,1,0
105378,FRXSH,FRAFW,plateau,0,0,17,0
105378,FRXSH,FRAFW,relance,0,0,1,0
105431,FRXSH,FRAFW,intervalle,0,0,2,0
105431,FRXSH,FRAFW,plateau,0,0,5,0
105431,FRXSH,FRAFW,relance,0,0,1,0
105432,FRXSH,FRAFW,bascule,0,0,1,0
105432,FRXSH,FRAFW,derniers_jours,0,0,3,0
105432,FRXSH,FRAFW,intervalle,0,0,7,0
105432,FRXSH,FRAFW,ouverture,0,0,1,0
105432,FRXSH,FRAFW,plateau,0,0,17,0
105432,FRXSH,FRAFW,relance,0,0,1,0
105437,FRXSH,FRAFW,bascule,0,0,1,0
105437,FRXSH,FRAFW,derniers_jours,0,0,3,0
105437,FRXSH,FRAFW,intervalle,0,0,7,0
105437,FRXSH,FRAFW,ouverture,0,0,1,0
105437,FRXSH,FRAFW,plateau,0,0,17,0
105437,FRXSH,FRAFW,relance,0,0,1,0
105442,FRXSH,FRAFW,intervalle,0,0,2,0
105442,FRXSH,FRAFW,plateau,0,0,5,0
105442,FRXSH,FRAFW,relance,0,0,1,0
105451,FRXSH,FRAFW,intervalle,0,0,1,0
105451,FRXSH,FRAFW,plateau,0,0,3,0
