horizon,anciennete,bascules,n_ouvert,ferme,n_ferme,rouvre
18,1j,jamais,13,0,2,0
18,1j,quelques,57,0,151,1
18,1j,une,36,4,3,0
18,2-3j,agitee,9,0,20,0
18,2-3j,inconnu,633,51,694,184
18,2-3j,jamais,0,0,14,1
18,2-3j,quelques,54,0,180,0
18,2-3j,une,150,27,0,0
18,4-7j,agitee,0,0,54,0
18,4-7j,inconnu,728,45,476,64
18,4-7j,quelques,19,0,122,23
18,4-7j,une,104,0,6,0
18,8-15j,inconnu,252,4,84,6
18,8-15j,jamais,20,0,20689,22
18,8-15j,quelques,15,0,88,0
18,8-15j,une,2639,83,0,0
18,inconnue,inconnu,9882,304,139601,387
19,1j,agitee,9,0,25,6
19,1j,inconnu,449,140,477,41
19,1j,jamais,3,3,15,1
19,1j,quelques,17,0,172,58
19,1j,une,105,9,0,0
19,2-3j,agitee,0,0,35,0
19,2-3j,inconnu,678,101,445,37
19,2-3j,quelques,68,20,166,1
19,2-3j,une,250,21,0,0
19,4-7j,agitee,0,0,43,0
19,4-7j,inconnu,554,31,356,17
19,4-7j,quelques,10,1,103,20
19,4-7j,une,203,10,6,0
19,8-15j,inconnu,248,44,72,1
19,8-15j,jamais,26,0,32960,67
19,8-15j,quelques,18,0,129,0
19,8-15j,une,3104,140,0,0
19,inconnue,inconnu,9405,237,126998,288
20,1j,agitee,38,15,16,9
20,1j,inconnu,598,179,417,155
20,1j,quelques,62,3,129,13
20,1j,une,231,60,0,0
20,2-3j,agitee,0,0,87,0
20,2-3j,inconnu,479,22,459,60
20,2-3j,quelques,74,3,290,16
20,2-3j,une,163,0,0,0
20,4-7j,agitee,0,0,41,0
20,4-7j,inconnu,510,58,186,7
20,4-7j,quelques,41,5,167,7
20,4-7j,une,220,3,6,0
20,8-15j,inconnu,155,3,33,0
20,8-15j,jamais,41,0,42793,113
20,8-15j,quelques,51,0,84,0
20,8-15j,une,4161,116,7,0
20,inconnue,inconnu,8643,215,115480,227
21,1j,agitee,0,0,72,25
21,1j,inconnu,331,54,304,76
21,1j,quelques,71,16,254,53
21,1j,une,149,36,0,0
21,2-3j,agitee,0,0,100,10
21,2-3j,inconnu,345,31,394,64
21,2-3j,quelques,52,1,248,11
21,2-3j,une,155,6,6,0
21,4-7j,agitee,0,0,8,3
21,4-7j,inconnu,583,42,131,14
21,4-7j,quelques,98,0,223,8
21,4-7j,une,284,13,0,0
21,8-15j,inconnu,45,33,3,0
21,8-15j,jamais,41,0,54704,236
21,8-15j,quelques,0,0,63,0
21,8-15j,une,4614,74,7,0
21,inconnue,inconnu,8391,257,103344,444
22,1j,agitee,3,3,143,0
22,1j,inconnu,297,95,325,41
22,1j,quelques,50,11,277,51
22,1j,une,245,152,0,0
22,2-3j,agitee,3,3,60,1
22,2-3j,inconnu,418,82,168,13
22,2-3j,quelques,129,50,304,11
22,2-3j,une,164,3,6,0
22,4-7j,agitee,0,0,9,0
22,4-7j,inconnu,448,13,89,0
22,4-7j,jamais,0,0,2,0
22,4-7j,quelques,98,5,321,31
22,4-7j,une,475,10,7,0
22,8-15j,jamais,55,0,65022,159
22,8-15j,une,5886,134,0,0
22,inconnue,inconnu,7532,114,91930,277
23,1j,agitee,6,3,184,10
23,1j,inconnu,357,144,165,46
23,1j,quelques,265,91,279,25
23,1j,une,197,97,9,0
23,2-3j,agitee,0,0,15,0
23,2-3j,inconnu,365,47,70,5
23,2-3j,jamais,0,0,6,0
23,2-3j,quelques,101,43,349,27
23,2-3j,une,289,18,0,0
23,4-7j,agitee,0,0,9,3
23,4-7j,inconnu,335,0,73,0
23,4-7j,jamais,0,0,2,0
23,4-7j,quelques,113,6,291,10
23,4-7j,une,8570,245,8,1
23,8-15j,jamais,68,0,74546,247
23,inconnue,inconnu,6146,134,81214,246
24,1j,agitee,0,0,12,0
24,1j,inconnu,356,105,103,52
24,1j,jamais,9,9,6,0
24,1j,quelques,239,163,394,135
24,1j,une,176,56,0,0
24,2-3j,agitee,0,0,18,6
24,2-3j,inconnu,265,10,91,32
24,2-3j,jamais,1,0,14,0
24,2-3j,quelques,85,18,494,109
24,2-3j,une,378,13,0,0
24,4-7j,inconnu,194,0,33,0
24,4-7j,jamais,81,0,84383,206
24,4-7j,quelques,92,3,207,21
24,4-7j,une,10769,230,8,0
24,inconnue,inconnu,4719,50,70464,273
25,1j,agitee,0,0,6,0
25,1j,inconnu,137,17,81,31
25,1j,jamais,1,0,14,0
25,1j,quelques,54,2,492,133
25,1j,une,323,115,0,0
25,2-3j,agitee,0,0,13,0
25,2-3j,inconnu,305,11,80,9
25,2-3j,jamais,9,0,9,0
25,2-3j,quelques,140,10,561,142
25,2-3j,une,414,67,0,0
25,4-7j,inconnu,45,0,3,0
25,4-7j,jamais,101,0,94775,225
25,4-7j,quelques,0,0,112,20
25,4-7j,une,12563,233,8,0
25,inconnue,inconnu,3648,75,59322,316
26,1j,agitee,0,0,13,0
26,1j,inconnu,163,7,61,17
26,1j,jamais,9,0,9,0
26,1j,quelques,68,5,359,80
