horizon,anciennete,bascules,n_ouvert,ferme,n_ferme,rouvre
1,16j+,agitee,152,0,35,7
1,16j+,inconnu,1730,17,100,5
1,16j+,jamais,18,0,54014,1671
1,16j+,quelques,588,6,636,44
1,16j+,une,10458,173,0,0
1,1j,agitee,287,77,438,241
1,1j,inconnu,7908,1923,5487,1908
1,1j,quelques,882,275,1682,536
1,1j,une,1599,491,0,0
1,2-3j,agitee,1204,79,245,76
1,2-3j,inconnu,30169,2914,2784,673
1,2-3j,jamais,9,0,28,0
1,2-3j,quelques,2316,258,802,222
1,2-3j,une,10818,1059,0,0
1,4-7j,agitee,607,18,209,16
1,4-7j,inconnu,12207,233,572,103
1,4-7j,jamais,31,0,21,0
1,4-7j,quelques,1678,40,276,88
1,4-7j,une,2491,17,0,0
1,8-15j,agitee,725,29,138,8
1,8-15j,inconnu,14797,228,545,20
1,8-15j,jamais,15,2,25,0
1,8-15j,quelques,1954,20,226,33
1,8-15j,une,5858,30,0,0
1,inconnue,inconnu,12306,82,96424,4479
2,16j+,agitee,135,0,51,0
2,16j+,inconnu,1432,11,67,4
2,16j+,jamais,128,0,64063,1709
2,16j+,quelques,609,2,829,53
2,16j+,une,11329,34,0,0
2,1j,agitee,119,25,409,100
2,1j,inconnu,5273,1546,4211,1645
2,1j,jamais,0,0,35,1
2,1j,quelques,223,45,1506,659
2,1j,une,2942,814,0,0
2,2-3j,agitee,1667,193,139,69
2,2-3j,inconnu,31215,3226,274,81
2,2-3j,jamais,13,0,0,0
2,2-3j,quelques,2977,203,208,35
2,2-3j,une,11337,1047,0,0
2,4-7j,agitee,393,12,362,125
2,4-7j,inconnu,8790,210,807,212
2,4-7j,jamais,18,0,33,0
2,4-7j,quelques,1289,13,361,133
2,4-7j,une,2571,3,0,0
2,8-15j,agitee,804,51,96,3
2,8-15j,inconnu,12764,96,475,64
2,8-15j,jamais,15,0,25,0
2,8-15j,quelques,2154,17,284,61
2,8-15j,une,6114,6,0,0
2,inconnue,inconnu,10997,84,97875,5726
3,16j+,agitee,136,0,143,0
3,16j+,inconnu,1091,8,82,28
3,16j+,jamais,140,0,72902,3445
3,16j+,quelques,615,0,897,34
3,16j+,une,12566,78,0,0
3,1j,agitee,1538,131,120,77
3,1j,inconnu,28543,3604,262,190
3,1j,quelques,3002,267,124,62
3,1j,une,13193,1593,0,0
3,2-3j,agitee,505,19,229,73
3,2-3j,inconnu,6374,223,572,157
3,2-3j,jamais,18,0,12,0
3,2-3j,quelques,1209,21,339,56
3,2-3j,une,1713,57,0,0
3,4-7j,agitee,485,3,394,28
3,4-7j,inconnu,6450,23,1031,265
3,4-7j,jamais,0,0,25,3
3,4-7j,quelques,1121,13,399,65
3,4-7j,une,2741,21,0,0
3,8-15j,agitee,743,4,83,1
3,8-15j,inconnu,10834,99,375,78
3,8-15j,jamais,18,0,25,0
3,8-15j,quelques,2368,41,313,19
3,8-15j,une,5976,33,0,0
3,inconnue,inconnu,9161,101,97962,4329
